Cu,Glass,Fe,Cu-Carbon,Glass-Carbon,Fe-Carbon
22.86,22.962,22.854,22.563,22.315,22.59
22.59,23.037,22.87,22.439,22.283,22.536
22.51,22.779,22.774,22.337,22.142,22.661
22.412,22.655,22.736,22.423,21.979,22.892
22.423,22.795,22.617,22.396,22.001,22.983
22.353,22.687,22.607,22.369,21.974,23.005
21.729,21.789,22.364,22.385,21.92,23.005
21.686,21.648,21.795,22.32,21.898,23.069
21.697,21.708,21.604,22.272,22.023,23.021
21.653,21.762,21.588,22.358,21.909,23.016
21.599,21.773,21.805,22.407,21.963,23.069
21.621,21.827,21.822,22.407,21.941,22.962
21.642,21.816,21.865,22.38,21.898,22.897
21.642,21.8,21.876,22.369,21.865,23.155
21.593,21.735,21.898,22.38,21.876,22.865
21.648,21.751,21.952,22.418,21.816,23.112
21.626,21.757,22.006,22.375,21.865,22.967
21.637,21.735,22.006,22.353,21.827,22.962
21.631,21.675,22.099,22.218,21.811,22.897
21.648,21.642,22.077,22.223,21.816,22.892
21.61,21.604,21.887,22.066,21.822,22.72
21.61,21.621,21.778,21.974,21.827,22.671
21.631,21.604,21.816,22.109,21.849,22.526
21.642,21.599,21.691,21.99,21.816,22.585
21.604,21.593,21.8,22.017,21.74,22.617
21.626,21.588,21.724,21.963,21.773,22.833
21.604,21.582,21.767,21.941,21.86,22.601
21.626,21.642,21.827,21.914,21.827,22.747
21.637,21.533,21.882,21.952,21.838,22.747
21.637,21.566,21.914,21.947,21.849,22.768
21.631,21.61,21.887,21.979,21.816,22.757
21.621,21.593,21.767,21.958,21.892,22.801
21.615,21.588,21.816,21.849,21.778,22.86
21.653,21.653,21.822,21.892,21.909,22.967
21.604,21.572,21.974,21.876,21.833,22.994
21.626,21.61,21.892,21.963,21.887,22.962
21.659,21.604,21.849,21.887,21.887,22.935
21.626,21.659,22.012,21.93,21.909,22.93
21.604,21.708,21.963,21.903,21.93,22.956
21.577,21.631,21.985,21.93,21.849,22.913
21.566,21.637,21.947,21.898,21.844,22.924
21.539,21.659,21.887,21.882,21.892,22.956
21.539,21.648,21.827,21.887,21.909,23.005
21.621,21.637,21.887,21.854,21.849,23.032
21.631,21.67,21.968,22.066,21.882,23.048
21.61,21.659,21.903,22.039,21.833,22.989
21.642,21.659,21.941,22.104,21.827,23.037
21.631,21.675,21.941,22.126,21.827,22.994
21.718,21.648,21.985,22.05,21.849,23.069
21.653,21.588,22.006,21.99,21.86,23.037
21.68,21.528,21.974,22.055,21.811,22.946
21.659,21.555,22.12,22.131,21.827,23.048
21.67,21.653,22.164,21.996,21.844,23.037
21.637,21.659,22.228,22.077,21.92,22.892
21.566,21.637,22.05,22.077,21.871,23.021
21.528,21.621,22.147,22.061,21.947,23.085
21.593,21.55,22.412,22.147,21.903,23.107
21.604,21.517,22.358,22.174,21.958,23.096
21.61,21.544,22.239,22.088,21.958,23.118
21.631,21.55,22.104,22.12,21.99,23.091
21.626,21.582,22.164,22.218,21.947,23.139
21.626,21.593,22.164,22.039,21.963,23.16
21.675,21.588,22.207,22.093,21.941,23.16
21.631,21.599,22.164,22.234,21.979,23.225
21.659,21.588,22.142,22.158,22.023,23.327
21.631,21.582,22.164,22.191,21.93,23.316
21.626,21.664,22.337,22.158,21.914,23.332
21.604,21.582,22.337,22.169,21.92,23.348
21.68,21.675,22.239,22.337,21.963,23.348
21.615,21.675,22.212,22.174,21.882,23.375
21.588,21.735,22.234,22.331,21.892,23.45
21.68,21.642,22.234,22.299,22.023,23.476
21.659,21.659,22.169,22.288,21.93,23.487
21.67,21.68,22.109,22.52,22.006,23.46
21.67,21.582,22.412,22.288,21.936,23.498
21.642,21.621,22.31,22.391,22.017,23.444
21.702,21.626,22.364,22.542,22.066,23.626
21.724,21.637,22.31,22.466,21.963,23.572
21.691,21.718,22.299,22.493,22.001,23.572
21.67,21.577,22.45,22.634,21.958,23.658
21.702,21.642,22.439,22.423,21.92,23.727
21.67,21.68,22.369,22.483,21.996,23.663
21.67,21.746,22.483,22.617,22.033,23.69
21.686,21.67,22.483,22.634,22.017,23.626
21.648,21.675,22.493,22.661,22.028,23.695
21.642,21.631,22.466,22.757,22.001,23.711
21.626,21.615,22.52,22.752,22.142,23.786
21.648,21.751,22.607,22.774,22.142,23.866
21.637,21.718,22.661,22.822,22.185,23.871
21.724,21.86,22.714,22.86,22.218,23.834
21.729,21.702,22.72,22.978,22.126,23.898
21.686,21.702,22.833,23.053,22.272,23.972
21.713,21.729,22.854,23.091,22.207,23.999
21.675,21.697,22.849,23.128,22.228,23.983
21.653,21.778,22.849,23.171,22.266,24.084
21.675,21.702,22.806,23.241,22.283,24.095
21.653,21.811,22.854,23.214,22.283,24.004
21.653,21.8,22.865,23.252,22.331,24.137
21.735,21.844,22.876,23.252,22.337,24.148
21.593,21.844,23.005,23.396,22.342,24.174
21.675,21.93,23.193,23.482,22.434,24.233
21.631,21.805,23.273,23.503,22.407,24.201
21.621,21.941,23.289,23.524,22.493,24.233
21.691,21.952,23.407,23.727,22.515,24.233
21.718,21.898,23.482,23.674,22.461,24.286
21.648,21.871,23.498,23.754,22.515,24.259
21.67,21.898,23.327,23.743,22.461,24.238
21.68,22.028,23.471,23.871,22.596,24.323
21.963,22.05,23.551,23.967,22.531,24.201
21.697,22.093,23.631,24.009,22.634,24.434
21.767,22.033,23.599,24.148,22.65,24.429
21.686,22.061,23.695,24.169,22.822,24.397
21.746,22.099,23.866,24.201,22.817,24.487
21.713,22.147,23.871,24.503,22.86,24.529
21.746,22.207,23.994,24.519,22.806,24.402
21.767,22.191,23.994,24.683,22.86,24.471
21.947,22.136,24.036,24.688,22.881,24.492
21.751,22.256,24.174,24.894,22.924,24.545
21.773,22.38,24.137,24.952,22.956,24.603
21.93,22.396,24.37,25.031,23.075,24.614
21.968,22.439,24.572,25.162,23.118,24.667
21.947,22.51,24.746,25.241,23.144,24.556
22.006,22.59,24.841,25.54,23.193,24.598
21.958,22.617,24.815,25.566,23.182,24.614
22.039,22.569,24.91,25.865,23.375,24.693
22.033,22.704,25.157,25.729,23.444,24.767
22.099,22.811,25.073,26.011,23.455,24.804
22.239,22.876,24.983,26.25,23.583,24.73
22.391,22.919,25.078,26.365,23.706,24.783
22.418,23.112,25.262,26.572,23.749,24.82
22.423,23.209,25.315,26.826,23.866,24.91
22.445,23.268,25.441,26.847,23.999,24.946
22.412,23.455,25.336,27.157,24.11,24.994
22.52,23.572,25.875,27.337,24.36,24.941
22.607,23.717,26.089,27.661,24.572,25.004
23.209,23.94,25.87,27.744,24.598,24.946
23.369,24.095,25.739,28.031,24.999,24.978
23.171,24.179,25.938,28.22,25.189,24.931
24.185,24.624,26.401,28.831,25.661,25.083
24.572,25.173,27.271,28.841,25.697,25.125
26.172,25.906,27.543,29.176,26.562,25.231
27.733,26.214,28.148,29.519,26.666,25.309
28.041,27.054,28.515,30.038,27.281,25.351
28.02,27.754,29.64,30.434,28.495,25.441
29.479,28.638,31.335,30.479,29.019,25.441
32.79,30.238,34.861,31.052,30.193,25.614
34.789,31.801,41.988,31.459,31.643,26.037
35.618,34.278,47.185,32.382,34.075,26.463
38.274,36.843,49.217,33.268,36.403,27.415
41.454,40.579,50.649,36.583,39.974,32.829
43.858,44.143,50.087,39.946,43.925,37.305
43.484,48.009,49.858,40.817,47.583,39.992
47.146,57.437,50.935,47.837,55.137,47.932
51.572,61.726,50.67,52.999,59.265,49.153
48.833,58.131,50.526,52.36,56.413,48.721
48.85,56.167,50.366,52.027,54.582,48.606
48.644,54.815,50.678,51.614,53.061,48.125
53.156,57.781,55.6,57.064,58.485,56.972
65.279,67.836,66.777,66.679,67.635,67.251
68.296,69.972,68.717,67.427,67.97,67.251
68.418,69.957,68.884,67.501,67.977,67.233
68.64,69.895,68.784,67.464,67.955,67.218
